gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4101670433	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0118	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	Leptodactylus fuscus		SPECIES	Leptodactylus fuscus (Schneider, 1799)	Leptodactylus fuscus	(Schneider, 1799)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	9	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216742	-75.407947			158.0	1.0			2022-12-06T00:00:00	6	12	2022	5217556	5217556	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:39.141Z		COORDINATE_ROUNDED
4101670432	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0119	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella horribilis		SPECIES	Rhinella horribilis (Wiegmann, 1833)	Rhinella horribilis	(Wiegmann, 1833)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216742	-75.407947			158.0	1.0			2022-12-06T00:00:00	6	12	2022	10892611	10892611	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:39.136Z		COORDINATE_ROUNDED
4101670431	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0114	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Engystomops	Engystomops pustulosus		SPECIES	Engystomops pustulosus (Cope, 1864)	Engystomops pustulosus	(Cope, 1864)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	13	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215019	-75.408406			157.5	1.5			2022-12-05T00:00:00	5	12	2022	2423497	2423497	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.856Z		COORDINATE_ROUNDED
4101670430	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0115	Animalia	Chordata	Squamata		Sphaerodactylidae	Gonatodes	Gonatodes albogularis		SPECIES	Gonatodes albogularis (Duméril & Bibron, 1836)	Gonatodes albogularis	(Duméril & Bibron, 1836)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	6	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215019	-75.408406			157.5	1.5			2022-12-05T00:00:00	5	12	2022	2447609	2447609	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.854Z		COORDINATE_ROUNDED
4101670429	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0116	Animalia	Chordata	Squamata		Iguanidae	Iguana	Iguana iguana		SPECIES	Iguana iguana (Linnaeus, 1758)	Iguana iguana	(Linnaeus, 1758)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215019	-75.408406			157.5	1.5			2022-12-05T00:00:00	5	12	2022	2459658	2459658	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.850Z		COORDINATE_ROUNDED
4101670428	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0117	Animalia	Chordata	Squamata		Sphaerodactylidae	Lepidoblepharis	Lepidoblepharis sanctaemartae		SPECIES	Lepidoblepharis sanctaemartae (Ruthven, 1916)	Lepidoblepharis sanctaemartae	(Ruthven, 1916)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216742	-75.407947			158.0	1.0			2022-12-06T00:00:00	6	12	2022	2446446	2446446	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.847Z		COORDINATE_ROUNDED
4101670427	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0110	Animalia	Chordata	Squamata		Teiidae	Ameiva	Ameiva praesignis		SPECIES	Ameiva praesignis (Baird & Girard, 1852)	Ameiva praesignis	(Baird & Girard, 1852)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217022	-75.407953			157.0	2.0			2022-12-04T00:00:00	4	12	2022	7505629	7505629	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.844Z		COORDINATE_ROUNDED
4101670426	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0077	Plantae	Tracheophyta	Liliopsida	Poales	Poaceae	Axonopus	Axonopus compressus		SPECIES	Axonopus compressus (Sw.) P.Beauv.	Axonopus compressus	(Sw.) P.Beauv.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	2705924	2705924	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.841Z		COORDINATE_ROUNDED
4101670425	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0111	Animalia	Chordata	Squamata		Dactyloidae	Anolis	Anolis gaigei		SPECIES	Anolis gaigei Ruthven, 1916	Anolis gaigei	Ruthven, 1916	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217022	-75.407953			157.0	2.0			2022-12-04T00:00:00	4	12	2022	2467747	2467747	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.838Z		COORDINATE_ROUNDED
4101670424	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0078	Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Matayba	Matayba scrobiculata		SPECIES	Matayba scrobiculata (Kunth) Radlk.	Matayba scrobiculata	(Kunth) Radlk.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	3784004	3784004	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.831Z		COORDINATE_ROUNDED
4101670423	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0112	Animalia	Chordata	Squamata		Phyllodactylidae	Thecadactylus	Thecadactylus rapicauda		SPECIES	Thecadactylus rapicauda (Houttuyn, 1782)	Thecadactylus rapicauda	(Houttuyn, 1782)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215019	-75.408406			157.5	1.5			2022-12-05T00:00:00	5	12	2022	2445829	2445829	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.828Z		COORDINATE_ROUNDED
4101670422	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0079	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia			GENUS	Ruellia L.	Ruellia	L.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	4	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	3171840		HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.824Z		COORDINATE_ROUNDED
4101670421	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0113	Animalia	Chordata	Squamata		Teiidae	Cnemidophorus	Cnemidophorus lemniscatus		SPECIES	Cnemidophorus lemniscatus (Linnaeus, 1758)	Cnemidophorus lemniscatus	(Linnaeus, 1758)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215019	-75.408406			157.5	1.5			2022-12-05T00:00:00	5	12	2022	5227564	5227564	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.820Z		COORDINATE_ROUNDED
4101670420	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0073	Plantae	Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Sida	Sida acuta		SPECIES	Sida acuta Burm.fil.	Sida acuta	Burm.fil.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	2	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	3933670	3933670	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.818Z		COORDINATE_ROUNDED
4101670419	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0074	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Calopogonium	Calopogonium mucunoides		SPECIES	Calopogonium mucunoides Desv.	Calopogonium mucunoides	Desv.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	2959433	2959433	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.815Z		COORDINATE_ROUNDED
4101670418	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0075	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Acanthaceae	Ruellia			GENUS	Ruellia L.	Ruellia	L.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	7	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	3171840		HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.811Z		COORDINATE_ROUNDED
4101670417	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0076	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium	Desmodium incanum		SPECIES	Desmodium incanum (Sw.) DC.	Desmodium incanum	(Sw.) DC.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	2967060	2967060	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.809Z		COORDINATE_ROUNDED
4101670416	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0070	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Desmodium	Desmodium incanum		SPECIES	Desmodium incanum (Sw.) DC.	Desmodium incanum	(Sw.) DC.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	2967060	2967060	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.806Z		COORDINATE_ROUNDED
4101670415	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0071	Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Dalechampia	Dalechampia scandens		SPECIES	Dalechampia scandens L.	Dalechampia scandens	L.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	3055569	3055569	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.803Z		COORDINATE_ROUNDED
4101670414	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0072	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Aeschynomene	Aeschynomene americana		SPECIES	Aeschynomene americana L.	Aeschynomene americana	L.	CO	Arbustal abierto en estado de sucesión secundaria, rodeado de parches de vegetacion pequeños y pastos enmalezados vegetacion	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.217103	-75.407683			162.0	0.0			2022-11-22T00:00:00	22	11	2022	2949235	2949235	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.798Z		COORDINATE_ROUNDED
4101670413	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0129	Animalia	Chordata	Mammalia	Didelphimorphia	Didelphidae	Didelphis	Didelphis marsupialis		SPECIES	Didelphis marsupialis Linnaeus, 1758	Didelphis marsupialis	Linnaeus, 1758	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		137.7	6.540000000000006			2022-12-06T00:00:00	6	12	2022	2439920	2439920	MATERIAL_SAMPLE	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.795Z		
4101670412	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0008	Animalia	Chordata	Aves	Psittaciformes	Psittacidae	Brotogeris	Brotogeris jugularis		SPECIES	Brotogeris jugularis (Statius Muller, 1776)	Brotogeris jugularis	(Statius Muller, 1776)	CO	vegetacion graminea dominate con escasos arboles pequeños y elevaciones de terreno	Sucre	PRESENT	20	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		146.07	6.599999999999994			2022-12-05T00:00:00	5	12	2022	2479563	2479563	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.792Z		
4101670411	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0009	Animalia	Chordata	Aves	Falconiformes	Falconidae	Caracara	Caracara plancus		SPECIES	Caracara plancus (J.F.Miller, 1777)	Caracara plancus	(J.F.Miller, 1777)	CO	vegetacion graminea dominate con escasos arboles pequeños y elevaciones de terreno	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		146.07	6.599999999999994			2022-12-05T00:00:00	5	12	2022	2480989	2480989	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.789Z		
4101670410	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0125	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus jamaicensis		SPECIES	Artibeus jamaicensis Leach, 1821	Artibeus jamaicensis	Leach, 1821	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	6	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215034	-75.408515			145.3	0.0			2022-12-04T00:00:00	4	12	2022	2433272	2433272	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.787Z		
4101670409	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0004	Animalia	Chordata	Aves	Piciformes	Picidae	Dryocopus	Dryocopus lineatus		SPECIES	Dryocopus lineatus (Linnaeus, 1766)	Dryocopus lineatus	(Linnaeus, 1766)	CO	Agrupacion arborea en caudal intermitente,heterogeneo en cobertura y estructura vegetal, precencia de palmas adultas y en crecimeinto	Sucre	PRESENT	4	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		148.60000000000002	5.549999999999997			2022-12-04T00:00:00	4	12	2022	5228831	5228831	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.779Z		
4101670408	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0126	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus lituratus		SPECIES	Artibeus lituratus (Olfers, 1818)	Artibeus lituratus	(Olfers, 1818)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	4	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.215034	-75.408515			145.3	0.0			2022-12-04T00:00:00	4	12	2022	2433270	2433270	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.775Z		
4101670407	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0005	Animalia	Chordata	Aves	Passeriformes	Tyrannidae	Myiozetetes	Myiozetetes similis		SPECIES	Myiozetetes similis (Spix, 1825)	Myiozetetes similis	(Spix, 1825)	CO	Agrupacion arborea en caudal intermitente,heterogeneo en cobertura y estructura vegetal, precencia de palmas adultas y en crecimeinto	Sucre	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		148.60000000000002	5.549999999999997			2022-12-04T00:00:00	4	12	2022	2482913	2482913	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.772Z		
4101670406	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0127	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus granatensis		SPECIES	Sciurus granatensis Humboldt, 1811	Sciurus granatensis	Humboldt, 1811	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	3	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		149.02499999999998	7.924999999999997			2022-12-04T00:00:00	4	12	2022	5219666	5219666	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.769Z		
4101670405	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0006	Animalia	Chordata	Aves	Galliformes	Cracidae	Ortalis	Ortalis garrula		SPECIES	Ortalis garrula (Humboldt, 1805)	Ortalis garrula	(Humboldt, 1805)	CO	Agrupacion arborea en caudal intermitente,heterogeneo en cobertura y estructura vegetal, precencia de palmas adultas y en crecimeinto	Sucre	PRESENT	5	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		148.60000000000002	5.549999999999997			2022-12-04T00:00:00	4	12	2022	5229446	5229446	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.766Z		
4101670404	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0128	Animalia	Chordata	Mammalia	Primates	Atelidae	Alouatta	Alouatta seniculus		SPECIES	Alouatta seniculus (Linnaeus, 1766)	Alouatta seniculus	(Linnaeus, 1766)	CO	Drenaje pequeño con caudal intermitente, cuenta con un bosque ripario de dosel cerrado	Sucre	PRESENT	8	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		137.7	6.540000000000006			2022-12-06T00:00:00	6	12	2022	2436648	2436648	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.764Z		
4101670403	004b9605-989f-4d7a-a6b4-821e0755c1e0	Promigas:Jobo-Majaguas_compensacion:0007	Animalia	Chordata	Aves	Cuculiformes	Cuculidae	Piaya	Piaya cayana		SPECIES	Piaya cayana (Linnaeus, 1766)	Piaya cayana	(Linnaeus, 1766)	CO	Agrupacion arborea en caudal intermitente,heterogeneo en cobertura y estructura vegetal, precencia de palmas adultas y en crecimeinto	Sucre	PRESENT	1	dbc2ab56-d499-403c-8db5-c1a49cd0b75f	9.216137	-75.407874	256.0		148.60000000000002	5.549999999999997			2022-12-04T00:00:00	4	12	2022	2496432	2496432	HUMAN_OBSERVATION	Promigas S.A E.S.P (Promigas)						CC_BY_NC_4_0					2023-05-09T00:19:38.759Z		
